treatment,BaselineSteps,PostSteps,StepChange
0,21396,63511,42115
0,21340,37460,16120
0,23912,59136,35224
0,16862,59292,42430
1,147738,167895,20157
0,18780,49811,31031
1,41930,80323,38393
1,28993,63707,34714
0,78382,127817,49435
1,58500,81081,22581
0,99417,149211,49794
0,93231,98047,4816
0,83443,105094,21651
0,22008,26486,4478
0,27950,59514,31564
0,67589,100475,32886
0,32753,76724,43971
1,33044,70775,37731
0,104857,109961,5104
0,121699,137849,16150
1,16094,45489,29395
1,78182,122739,44557
0,21735,58693,36958
1,47473,68971,21498
0,121416,123661,2245
0,13604,31750,18146
0,125000,139801,14801
1,40463,70095,29632
1,34823,78262,43439
1,120296,137162,16866
1,79173,125933,46760
0,110372,142100,31728
1,26017,60347,34330
1,149000,177873,28873
1,15939,17025,1086
0,23949,27990,4041
0,119260,143890,24630
1,31600,33172,1572
1,80000,96440,16440
0,119420,162182,42762
0,91532,119830,28298
0,120927,130538,9611
1,116843,143167,26324
0,53962,98112,44150
1,67059,105702,38643
1,117216,118351,1135
1,43792,91238,47446
0,13781,54459,40678
1,42064,49235,7171
0,145271,167129,21858
1,58545,95608,37063
1,26545,52377,25832
1,50388,98369,47981
1,108263,132557,24294
1,40711,82311,41600
1,105099,139843,34744
1,37776,51717,13941
0,189000,197565,8565
1,144593,174019,29426
1,94162,112348,18186
1,78704,109065,30361
0,59970,89440,29470
0,86465,123221,36756
0,61791,94082,32291
0,73000,90287,17287
0,125683,163995,38312
0,194677,198762,4085
0,23929,30565,6636
1,140000,150928,10928
1,45000,65534,20534
0,14418,28096,13678
1,15643,60317,44674
0,73166,103756,30590
1,62500,90815,28315
0,42537,82832,40295
0,49732,87637,37905
1,68511,108435,39924
0,121183,133548,12365
1,108698,152103,43405
1,29783,64198,34415
1,96000,131817,35817
1,24091,28451,4360
0,55733,70102,14369
1,127000,165152,38152
1,130000,137606,7606
1,75409,81093,5684
0,61099,89389,28290
0,101658,136696,35038
1,140184,170694,30510
0,36169,59997,23828
0,41684,83436,41752
1,65359,81621,16262
1,167566,181690,14124
0,186740,207838,21098
1,25000,64152,39152
1,87892,126909,39017
0,69946,115257,45311
0,56136,96505,40369
1,50468,99285,48817
1,44668,67176,22508
1,57316,76622,19306
1,61424,97120,35696
0,111069,155135,44066
1,91258,103454,12196
0,160251,166627,6376
0,20500,36127,15627
1,11241,38298,27057
0,43191,56235,13044
0,16588,48888,32300
0,54860,66734,11874
1,96985,141240,44255
1,73811,116476,42665
1,94000,139018,45018
1,59179,67495,8316
1,88737,103166,14429
0,15883,53595,37712
0,85430,102716,17286
0,79651,115410,35759
0,94055,111152,17097
1,87122,106098,18976
1,88030,137644,49614
1,106250,121128,14878
0,85754,94842,9088
0,177719,212591,34872
0,49013,68209,19196
1,88658,99301,10643
0,27229,34091,6862
0,51767,89619,37852
0,37638,70445,32807
1,23701,55902,32201
0,56800,65906,9106
1,112557,127465,14908
0,24130,34746,10616
0,97695,122888,25193
0,45443,85022,39579
1,153379,156774,3395
1,80000,91432,11432
1,94000,108311,14311
0,17851,37494,19643
0,109111,112790,3679
1,38409,73694,35285
0,89927,106207,16280
1,54000,87917,33917
1,36200,84843,48643
0,50112,91739,41627
0,75340,122725,47385
0,17259,20872,3613
1,26400,59788,33388
0,94678,106982,12304
1,68336,69348,1012
0,74956,106491,31535
1,36631,74814,38183
0,28047,37187,9140
0,124622,163215,38593
0,75919,105895,29976
1,33800,56736,22936
0,60085,74514,14429
1,180729,203634,22905
1,15138,29016,13878
1,17284,32912,15628
1,62315,96245,33930
0,37600,73833,36233
1,40000,45721,5721
1,10196,39044,28848
1,18953,37064,18111
0,63602,97404,33802
1,63600,110370,46770
1,67507,87153,19646
1,65980,104295,38315
0,50646,86640,35994
1,23213,49047,25834
0,88797,97380,8583
1,61415,83697,22282
0,32663,48844,16181
1,126994,141997,15003
0,51205,98064,46859
0,82291,119431,37140
0,185718,195924,10206
0,75642,94148,18506
1,63275,72883,9608
0,84780,110838,26058
0,74007,77015,3008
0,66782,112613,45831
1,128503,165168,36665
0,16910,31340,14430
1,75813,95068,19255
0,55170,99166,43996
0,81000,127399,46399
1,101313,105928,4615
1,79771,115333,35562
1,18834,35961,17127
1,98319,147607,49288
0,91289,112307,21018
0,78946,109800,30854
0,126940,151587,24647
1,119373,151859,32486
0,181507,192554,11047
0,40538,74941,34403
0,118309,134879,16570
0,130248,154030,23782
0,160578,178701,18123
1,70810,109296,38486
1,55000,93963,38963
0,96944,109908,12964
1,51843,52074,231
1,67114,71020,3906
1,52878,100716,47838
0,53635,88337,34702
0,103548,106436,2888
0,124399,127841,3442
1,23000,36643,13643
0,15033,39732,24699
0,153619,197589,43970
1,61501,69975,8474
1,125832,132087,6255
0,33092,52002,18910
1,83573,108301,24728
1,32518,77697,45179
1,74650,91119,16469
0,25070,42994,17924
0,15490,18116,2626
1,36000,80431,44431
0,87831,90183,2352
1,12000,16762,4762
0,16287,42941,26654
0,63949,110881,46932
1,22552,63768,41216
0,85833,132736,46903
0,29466,50665,21199
0,19525,19720,195
1,95000,128625,33625
1,49340,74498,25158
1,86052,105313,19261
0,70000,118465,48465
1,180000,206797,26797
0,15031,43239,28208
0,69438,76270,6832
1,95000,114444,19444
0,22009,44787,22778
1,37573,55850,18277
1,111013,120209,9196
1,133556,144897,11341
1,88149,124474,36325
0,92264,92710,446
0,48795,95386,46591
1,74000,76766,2766
1,17042,35653,18611
1,122909,163225,40316
0,85472,132388,46916
0,68601,83651,15050
0,58701,91946,33245
0,57658,88770,31112
0,51352,85295,33943
0,53764,70606,16842
1,33417,59752,26335
0,80223,112940,32717
0,93216,118199,24983
0,51054,80935,29881
1,112484,154782,42298
0,86000,131981,45981
0,28916,43113,14197
0,67000,72551,5551
0,28410,30072,1662
1,39203,41527,2324
1,130081,146239,16158
1,79158,103979,24821
0,13405,30197,16792
0,50880,90723,39843
0,10738,60577,49839
0,103136,109084,5948
0,13401,13435,34
0,57734,80781,23047
0,30687,60837,30150
0,50751,76259,25508
1,62508,91575,29067
1,86943,132888,45945
1,59220,83592,24372
1,27000,49976,22976
1,19303,51884,32581
0,55091,100462,45371
0,49352,85870,36518
0,60081,98846,38765
1,45000,64047,19047
1,81877,109837,27960
1,126451,176134,49683
1,105663,137021,31358
1,194770,232729,37959
1,59230,80215,20985
0,164132,202271,38139
1,142471,172366,29895
1,188688,197094,8406
0,106629,109234,2605
1,66000,80338,14338
1,54778,90188,35410
0,68826,113082,44256
1,55152,97142,41990
1,73507,75575,2068
1,16140,58117,41977
0,140694,143900,3206
1,74000,100732,26732
1,41203,87570,46367
1,150792,170680,19888
0,84920,87973,3053
0,29325,67441,38116
0,163538,212114,48576
1,40366,64559,24193
0,31500,32896,1396
1,10307,19790,9483
1,76674,84503,7829
1,34000,45366,11366
0,155750,169405,13655
1,57000,106260,49260
1,116140,145201,29061
1,112000,129079,17079
1,83436,121126,37690
1,29530,52362,22832
1,135741,158572,22831
0,78706,115809,37103
1,140581,167764,27183
1,40727,47378,6651
1,31094,52408,21314
0,67544,70788,3244
1,119547,124356,4809
0,30521,74420,43899
1,19884,45284,25400
0,28482,62784,34302
1,12817,31278,18461
0,35293,41122,5829
0,184251,207277,23026
0,74624,105254,30630
1,60049,62124,2075
1,17000,39480,22480
1,103000,118672,15672
0,24712,63922,39210
1,98980,120776,21796
0,52312,56689,4377
0,124771,160453,35682
1,60000,90971,30971
0,83118,110667,27549
1,135514,183033,47519
1,56000,95261,39261
0,63640,73813,10173
1,70807,102624,31817
1,43935,79123,35188
0,57471,83206,25735
1,57343,105126,47783
1,86024,121354,35330
0,111023,126050,15027
0,55619,61204,5585
0,70619,75232,4613
0,83866,112668,28802
1,31026,53379,22353
1,50451,52603,2152
0,149040,173350,24310
0,92255,127196,34941
0,16665,47710,31045
0,37914,40800,2886
0,64063,111737,47674
0,174000,190309,16309
1,30078,68431,38353
1,22668,60776,38108
1,49520,63203,13683
1,65641,99294,33653
1,50206,66021,15815
1,28500,55046,26546
0,108668,126066,17398
1,121446,134330,12884
1,46356,55026,8670
1,65000,85462,20462
0,37562,46841,9279
0,51442,101127,49685
0,132352,158088,25736
1,79448,84471,5023
0,119160,167842,48682
1,76724,114698,37974
0,163325,196484,33159
1,47900,82509,34609
0,64885,84589,19704
1,10553,26214,15661
1,100131,118517,18386
0,114503,121297,6794
1,40681,49036,8355
0,60829,66243,5414
0,49620,59504,9884
0,160242,198831,38589
1,19000,32088,13088
0,17934,37904,19970
0,113091,127912,14821
1,127039,144415,17376
1,59000,85230,26230
1,170095,175156,5061
0,27281,38224,10943
0,94367,131333,36966
1,30200,67726,37526
0,43699,47174,3475
0,167289,193307,26018
0,36428,60667,24239
0,11183,58342,47159
0,46625,65756,19131
0,128922,133045,4123
0,29358,45645,16287
1,28528,72313,43785
0,12987,47768,34781
1,20630,66498,45868
0,22106,27210,5104
0,69226,94767,25541
0,10155,16855,6700
1,165670,200555,34885
1,35000,77533,42533
0,33923,53765,19842
0,44836,53984,9148
1,11640,56518,44878
1,89000,126481,37481
0,21353,61527,40174
1,58858,68684,9826
0,35213,48925,13712
0,136355,140915,4560
1,125000,134563,9563
0,72805,99513,26708
1,155755,161873,6118
0,25300,46929,21629
0,69443,115999,46556
1,60767,87891,27124
0,12339,48554,36215
1,91085,103576,12491
0,80019,125767,45748
1,64882,108122,43240
0,44465,74060,29595
1,20649,31329,10680
1,25000,54206,29206
0,32876,74944,42068
1,100462,119060,18598
1,46180,75462,29282
1,85099,117159,32060
1,22079,57179,35100
0,46763,63089,16326
0,61406,76405,14999
0,80350,85612,5262
0,108683,111819,3136
0,156325,197836,41511
1,31212,71663,40451
1,17982,61435,43453
0,37256,51441,14185
1,15000,19135,4135
1,44000,72988,28988
0,69691,80587,10896
0,38572,48322,9750
0,109145,124647,15502
1,39931,42992,3061
1,38000,71754,33754
0,37251,75495,38244
0,20810,48081,27271
1,106747,121788,15041
1,18520,64606,46086
0,69971,84704,14733
1,68470,110099,41629
0,76227,113656,37429
0,66426,113584,47158
1,78984,92713,13729
1,117184,149819,32635
1,110000,148923,38923
0,96055,123653,27598
1,24561,26201,1640
1,139673,179679,40006
0,33300,82080,48780
1,147426,193377,45951
1,81500,125886,44386
0,132367,173972,41605
1,12014,33649,21635
0,11569,39444,27875
0,91833,115105,23272
1,64972,67097,2125
1,82139,112827,30688
0,34107,57071,22964
0,17868,40476,22608
0,29030,50419,21389
0,43343,70262,26919
0,27132,73738,46606
0,56229,91356,35127
1,22054,25074,3020
1,43000,75672,32672
0,30825,43184,12359
1,35000,63599,28599
0,135517,164118,28601
0,14133,21506,7373
1,31948,66744,34796
1,70000,112112,42112
1,141395,165486,24091
0,81031,115035,34004
1,38036,39109,1073
0,58895,85567,26672
0,70155,89265,19110
0,120099,126592,6493
0,65134,110175,45041
0,51305,56027,4722
0,53676,54319,643
0,65662,83466,17804
0,132352,148363,16011
0,76191,117339,41148
1,133000,163394,30394
1,45110,88130,43020
0,16874,66794,49920
1,37000,56508,19508
0,21596,39227,17631
1,34656,69803,35147
0,10042,31985,21943
0,70214,115329,45115
0,71000,71250,250
0,31523,54123,22600
0,120183,133105,12922
0,80873,104130,23257
0,56000,84416,28416
0,153540,176514,22974
0,44608,50318,5710
1,32168,47138,14970
1,50000,97950,47950
0,67563,75570,8007
1,27232,49183,21951
1,141362,186709,45347
1,84808,128717,43909
0,117565,130569,13004
0,102483,105998,3515
1,24732,66971,42239
0,50687,53634,2947
1,67500,88070,20570
1,75601,124924,49323
0,110034,140801,30767
1,44669,45104,435
1,137455,147947,10492
0,145956,157408,11452
0,186700,211285,24585
0,76721,95633,18912
0,132000,171255,39255
0,163473,207062,43589
0,42643,43347,704
1,84707,110388,25681
0,197077,197221,144
1,13484,17177,3693
1,56594,66112,9518
0,64740,90116,25376
0,12295,21467,9172
1,180423,198864,18441
0,48572,84652,36080
0,128625,146914,18289
0,43033,79987,36954
0,49086,74417,25331
1,65924,111787,45863
0,49198,52146,2948
0,54000,102877,48877
1,105153,123932,18779
0,91611,134032,42421
0,90198,121919,31721
0,118813,136671,17858
0,67346,112256,44910
0,138455,148952,10497
1,75246,80511,5265
1,138000,158964,20964
0,14967,62502,47535
0,112780,160241,47461
0,29213,39416,10203
0,48316,89958,41642
1,101604,130982,29378
1,168296,205475,37179
1,80000,100252,20252
0,60422,98810,38388
1,26543,40077,13534
1,18368,47458,29090
1,82231,97040,14809
1,177548,210393,32845
0,91893,100780,8887
0,88426,101910,13484
0,60991,76898,15907
0,63672,71383,7711
1,58087,89178,31091
1,155557,183243,27686
0,129933,174090,44157
1,45172,94767,49595
0,116891,159254,42363
0,99600,116146,16546
0,102937,151137,48200
1,12452,21986,9534
0,58826,73695,14869
0,35740,56039,20299
0,16938,34262,17324
1,98000,105296,7296
1,103000,107907,4907
0,56787,95429,38642
0,129995,172078,42083
1,30000,76754,46754
1,97000,146547,49547
1,29000,62200,33200
0,45352,50963,5611
1,50000,85950,35950
1,37000,48482,11482
1,16505,53178,36673
1,147000,149275,2275
1,87300,125035,37735
1,118836,146019,27183
1,52635,91350,38715
1,167146,198150,31004
0,16877,62522,45645
1,91950,120041,28091
1,170477,212541,42064
1,49604,97674,48070
0,79989,101095,21106
0,125806,174628,48822
0,143000,190072,47072
0,54708,71764,17056
1,73595,95209,21614
0,126497,173748,47251
0,16779,54749,37970
0,49464,96647,47183
0,51798,93420,41622
1,11308,37039,25731
0,47100,82388,35288
0,119000,134205,15205
1,24326,32061,7735
0,48803,73810,25007
1,34000,38375,4375
0,66939,74524,7585
0,126274,173857,47583
1,60598,82048,21450
1,51777,63826,12049
1,18023,55771,37748
0,87939,106298,18359
0,67950,97822,29872
1,28770,60142,31372
0,41327,67172,25845
1,125124,156586,31462
0,58337,100107,41770
1,151932,154854,2922
1,27300,64590,37290
1,34191,67498,33307
0,101763,148711,46948
0,96874,136614,39740
1,88744,125159,36415
0,54374,61251,6877
1,30309,78637,48328
0,115793,163484,47691
0,81054,104748,23694
0,44179,92589,48410
0,55585,65357,9772
0,125733,155883,30150
1,16000,26129,10129
1,147993,177380,29387
0,69268,83068,13800
0,177314,208386,31072
0,89658,105114,15456
0,148800,153727,4927
1,164830,184518,19688
0,107877,146944,39067
1,35400,52054,16654
1,79120,86479,7359
1,101625,148134,46509
1,51108,54145,3037
0,48238,49987,1749
0,53376,77999,24623
0,80216,125872,45656
1,98000,113416,15416
1,14231,37341,23110
0,70199,94847,24648
0,143856,153355,9499
1,28898,75563,46665
0,150245,158190,7945
0,53000,96755,43755
1,22187,59104,36917
1,39421,86447,47026
1,17483,43374,25891
1,42850,53297,10447
0,12077,45705,33628
1,91915,116493,24578
0,145060,174237,29177
0,10638,43801,33163
1,23544,63384,39840
1,138339,168282,29943
1,36411,67575,31164
0,63168,88734,25566
0,34406,37998,3592
0,14419,48890,34471
1,77800,120010,42210
0,112458,151857,39399
0,104668,114241,9573
0,28222,61418,33196
0,58053,72028,13975
1,32164,61017,28853
1,101710,131910,30200
1,42000,52355,10355
1,69938,92817,22879
1,31116,31460,344
1,100770,107802,7032
1,140087,155246,15159
1,121978,164568,42590
1,190200,206440,16240
0,84673,109415,24742
0,102934,135617,32683
0,37247,48737,11490
0,80904,109481,28577
0,65148,74203,9055
0,142095,181669,39574
1,19921,60392,40471
1,97390,144709,47319
1,48000,91803,43803
1,27098,64287,37189
1,34000,80594,46594
0,45483,58735,13252
0,10991,54484,43493
1,24000,65047,41047
0,25254,58214,32960
1,102584,113854,11270
0,38000,60559,22559
0,27930,41209,13279
0,28979,36025,7046
1,84351,101023,16672
1,83656,133219,49563
0,35325,46850,11525
0,101841,137488,35647
0,66956,101441,34485
1,69250,88233,18983
1,30807,63127,32320
0,91512,111211,19699
0,75529,108517,32988
1,145315,161342,16027
0,32659,78615,45956
1,129000,172496,43496
0,81662,103469,21807
1,17107,44948,27841
0,59795,63083,3288
0,49789,84347,34558
0,13281,48498,35217
0,146050,176373,30323
1,88000,97542,9542
0,108851,132323,23472
1,54043,88716,34673
1,94016,123820,29804
1,35207,47209,12002
0,33845,59233,25388
1,63765,99045,35280
0,30179,41131,10952
0,67949,109584,41635
0,159390,178119,18729
0,90918,128650,37732
0,69084,111877,42793
0,66158,89254,23096
0,15809,45184,29375
0,23376,71200,47824
1,43249,86956,43707
1,116884,143301,26417
1,36500,61396,24896
1,99056,103546,4490
1,86500,114872,28372
1,29872,63146,33274
1,20000,69245,49245
1,55542,101550,46008
0,11354,19794,8440
1,94216,106469,12253
1,70106,100691,30585
1,67776,107579,39803
1,80683,128464,47781
0,71534,94985,23451
1,40792,42574,1782
1,62756,108714,45958
1,112837,119603,6766
1,45325,62914,17589
0,24845,40275,15430
0,47700,50203,2503
0,30437,70421,39984
1,50000,88857,38857
1,90800,124459,33659
1,157013,190877,33864
1,43688,69788,26100
1,77631,114259,36628
1,68758,116427,47669
0,18022,43719,25697
0,78920,90020,11100
0,133594,159960,26366
1,132084,132689,605
1,62000,83388,21388
1,72000,119425,47425
1,40158,89628,49470
0,103010,112472,9462
0,42588,63932,21344
0,35000,51803,16803
0,88391,136860,48469
0,19709,56829,37120
1,73506,88294,14788
0,74397,82749,8352
0,136278,163419,27141
0,66210,87575,21365
0,132801,136641,3840
0,109711,133692,23981
1,83909,131587,47678
1,28350,49114,20764
0,43958,61421,17463
1,148000,186206,38206
0,163138,197851,34713
0,59113,83748,24635
1,12200,22755,10555
1,60000,102828,42828
0,92859,113147,20288
0,135273,182819,47546
0,39517,53246,13729
0,10859,45378,34519
1,38347,42286,3939
0,183399,228101,44702
0,161904,169336,7432
0,110693,114637,3944
0,22463,42696,20233
1,137000,158779,21779
1,45000,89182,44182
0,40362,88628,48266
1,15280,24024,8744
1,58000,88551,30551
0,35609,68357,32748
0,177924,208669,30745
0,76682,116307,39625
1,150215,154398,4183
0,54124,82902,28778
0,44048,62203,18155
1,50649,68060,17411
0,89822,135661,45839
1,10909,53868,42959
0,68339,99946,31607
0,48391,82353,33962
1,167976,169590,1614
0,167136,170069,2933
0,14691,27718,13027
0,50353,97545,47192
1,91859,127243,35384
0,38206,83287,45081
0,66282,88314,22032
1,21000,26664,5664
0,81579,106153,24574
0,31091,34053,2962
1,23354,60750,37396
1,30600,34045,3445
0,41306,89486,48180
1,68374,110741,42367
1,79633,123044,43411
1,28130,47081,18951
0,37914,68965,31051
0,128048,175791,47743
0,101208,129896,28688
0,47929,78058,30129
0,96797,116614,19817
1,71389,77010,5621
0,131890,157899,26009
1,49632,81705,32073
1,68833,87830,18997
1,156070,189392,33322
0,22629,61311,38682
1,62973,101627,38654
0,196503,244948,48445
1,58900,86312,27412
0,23892,72709,48817
0,33760,53049,19289
0,31478,34021,2543
0,79096,111157,32061
0,99915,134142,34227
0,126000,149724,23724
1,37172,74306,37134
1,56385,89091,32706
1,54489,78755,24266
1,55419,99450,44031
1,120000,168446,48446
0,128534,153216,24682
1,71697,105393,33696
0,24589,47006,22417
0,36492,45840,9348
0,122198,138716,16518
0,27071,67338,40267
1,23000,50109,27109
0,112367,149252,36885
1,64632,105880,41248
0,21335,49317,27982
0,138877,149902,11025
1,63810,83472,19662
1,73653,92317,18664
0,124369,172018,47649
0,92887,129712,36825
1,47347,52408,5061
1,75714,119552,43838
1,80182,121994,41812
1,63678,67665,3987
0,17860,55376,37516
1,168594,208943,40349
1,40001,76149,36148
1,43188,54577,11389
1,82345,94705,12360
1,53036,79545,26509
1,19194,30390,11196
1,32418,37720,5302
0,61834,77913,16079
1,38287,86995,48708
1,64503,90685,26182
1,54302,82135,27833
1,162206,170451,8245
0,61447,107537,46090
1,16064,64404,48340
0,74757,107676,32919
1,58131,60435,2304
0,42829,54745,11916
1,21045,30985,9940
0,68794,104140,35346
1,40825,85717,44892
0,37137,58732,21595
0,24641,72523,47882
1,95516,108080,12564
0,105505,155443,49938
0,16208,21361,5153
1,51002,90116,39114
1,88696,109766,21070
0,80663,95501,14838
0,23627,47761,24134
0,154312,199859,45547
1,43441,44799,1358
1,83489,130508,47019
0,88925,137658,48733
1,66539,99105,32566
1,74059,94130,20071
0,86017,121863,35846
0,60590,99749,39159
0,12078,33846,21768
1,11322,38863,27541
1,57268,93094,35826
0,94262,95409,1147
0,105097,141564,36467
0,73373,100468,27095
0,112750,156423,43673
1,119105,159373,40268
0,65010,102366,37356
1,67285,85941,18656
1,70912,95248,24336
1,41000,45519,4519
1,63000,96651,33651
0,67510,84756,17246
1,20000,64568,44568
0,122281,134543,12262
1,12718,26578,13860
0,48630,72165,23535
0,73000,88439,15439
0,30173,36463,6290
1,54404,69749,15345
1,80299,90350,10051
1,49000,54101,5101
1,129620,141380,11760
0,36117,83607,47490
1,15714,59058,43344
0,102898,110040,7142
1,41079,68357,27278
0,21459,39114,17655
1,21783,23089,1306
1,53600,96196,42596
0,36057,36762,705
0,60000,64299,4299
0,35823,60145,24322
0,17176,60722,43546
1,35679,82375,46696
0,114740,146569,31829
0,109000,110896,1896
0,78870,84411,5541
1,62969,68139,5170
1,21006,51787,30781
0,182429,208990,26561
1,155840,161249,5409
0,21860,41678,19818
0,54475,87233,32758
0,50900,91988,41088
1,51655,71597,19942
1,42500,90782,48282
1,102012,102041,29
0,132911,157287,24376
0,120900,143968,23068
0,18438,18718,280
0,60814,109365,48551
1,49864,70665,20801
0,94580,106437,11857
1,34041,64578,30537
1,72586,97310,24724
1,185000,195732,10732
0,60571,72611,12040
0,42562,62699,20137
0,130669,173560,42891
0,130579,161680,31101
1,139249,165112,25863
1,114452,163448,48996
1,48337,77532,29195
0,50350,56530,6180
1,65294,106512,41218
1,121165,169646,48481
0,57094,84436,27342
0,113995,131484,17489
0,67142,67604,462
0,150300,154181,3881
1,25999,72837,46838
0,175238,178202,2964
1,34094,63092,28998
1,80173,115992,35819
0,176805,178487,1682
1,17890,56584,38694
1,51781,64426,12645
0,58885,80929,22044
0,69697,89959,20262
1,82398,122405,40007
1,37000,52365,15365
1,41894,88357,46463
1,44109,79668,35559
1,90550,107924,17374
0,189764,226424,36660
0,76675,125679,49004
1,96421,144221,47800
1,28000,61555,33555
0,48300,77749,29449
0,74054,81142,7088
1,42820,45113,2293
1,29500,64010,34510
1,52000,76269,24269
0,164334,195366,31032
0,12200,22134,9934
0,19623,23794,4171
0,133895,179791,45896
0,57352,96274,38922
1,58918,75349,16431
1,130000,149248,19248
1,63376,72859,9483
0,199508,224495,24987
0,178188,225749,47561
0,73980,80861,6881
1,46000,66004,20004
1,100322,126216,25894
0,176849,226418,49569
0,129492,165696,36204
0,82263,125664,43401
1,45582,79964,34382
0,158971,184491,25520
0,50274,75029,24755
0,63025,97519,34494
1,98075,117891,19816
0,15326,37817,22491
1,29451,48349,18898
0,152459,186337,33878
1,70000,83749,13749
1,83664,127645,43981
1,120000,153262,33262
0,119789,141358,21569
1,50020,62785,12765
0,35562,67937,32375
0,99603,116858,17255
0,33788,39801,6013
0,197242,212848,15606
0,10646,21683,11037
0,127954,173673,45719
0,77726,103858,26132
0,27321,28094,773
1,76000,80753,4753
0,31015,65778,34763
0,36504,67822,31318
0,55738,76532,20794
0,63038,108624,45586
1,132749,182310,49561
1,37000,51395,14395
1,73776,114880,41104
1,66067,86423,20356
0,127685,151363,23678
0,61635,86602,24967
0,56403,95019,38616
1,13000,13210,210
1,70000,100883,30883
0,73306,105238,31932
0,74756,85956,11200
1,70161,119119,48958
1,42075,69597,27522
0,49035,52301,3266
1,76108,112553,36445
0,47670,87998,40328
0,14870,17292,2422
0,130426,166734,36308
1,72000,100763,28763
0,27764,62812,35048
0,65984,115004,49020
0,148500,155598,7098
1,56000,104418,48418
1,49420,81842,32422
0,10429,22730,12301
0,55386,93401,38015
0,95233,135107,39874
1,80027,128643,48616
1,14000,62351,48351
0,30890,31635,745
1,26765,34853,8088
1,52454,97002,44548
0,140794,143642,2848
1,52443,69516,17073
1,39414,47681,8267
1,70973,113596,42623
1,40084,51425,11341
0,124957,127178,2221
1,30000,74452,44452
1,121000,158922,37922
0,84639,95261,10622
0,189075,227839,38764
0,46361,58343,11982
1,180683,202357,21674
1,74520,88440,13920
1,163937,190585,26648
1,31387,63556,32169
1,15632,46452,30820
1,62587,64811,2224
0,111531,144757,33226
1,31997,39903,7906
1,15000,60622,45622
1,14263,26873,12610
0,122258,122621,363
0,172524,206990,34466
1,34102,39741,5639
0,32140,62936,30796
0,35616,67154,31538
0,41003,49113,8110
1,56600,86856,30256
0,154361,196795,42434
0,124836,167832,42996
1,65543,69505,3962
1,25783,44134,18351
0,26132,27198,1066
0,72289,74085,1796
1,74786,93882,19096
0,112949,136010,23061
1,38534,76217,37683
0,182235,208106,25871
0,35977,50297,14320
0,101872,131052,29180
1,42346,68892,26546
1,22000,59291,37291
0,74336,77221,2885
