treatment,BaselineSteps,PostSteps,StepChange
0,11429,13789,2360
0,82159,122314,40155
1,53464,98909,45445
0,56540,65265,8725
0,14522,54948,40426
1,32393,43191,10798
1,68433,92619,24186
1,30686,45279,14593
0,60855,92510,31655
1,105000,138879,33879
0,76000,124640,48640
1,56000,91884,35884
0,51237,78417,27180
0,20875,35027,14152
0,69318,78995,9677
1,106340,133534,27194
1,35304,80974,45670
1,73170,101945,28775
1,32000,67558,35558
1,22712,70569,47857
1,13903,48267,34364
0,57215,66295,9080
0,119928,124831,4903
1,110859,123190,12331
1,101726,129094,27368
1,82905,122577,39672
0,145046,148997,3951
1,64976,74407,9431
0,99966,125266,25300
0,140500,180264,39764
1,10732,55000,44268
1,53000,90917,37917
0,159354,167425,8071
1,28663,77867,49204
1,61895,78998,17103
1,54000,81159,27159
0,23377,66694,43317
1,106919,155378,48459
0,48153,75306,27153
0,99004,135188,36184
0,47748,70041,22293
0,171450,216733,45283
0,116956,148754,31798
0,88799,92087,3288
0,59013,83933,24920
0,62426,98680,36254
0,54125,102061,47936
1,162795,191767,28972
1,19713,29559,9846
0,130977,137130,6153
1,96244,144060,47816
0,105913,105984,71
0,105938,111030,5092
0,42583,50265,7682
1,83200,108212,25012
0,132086,144084,11998
0,131730,175198,43468
0,24710,27561,2851
1,18800,30489,11689
0,43268,59535,16267
0,102200,132496,30296
0,75000,85168,10168
1,31443,68603,37160
0,22152,38893,16741
1,143767,192290,48523
1,17457,41597,24140
0,142660,160970,18310
0,162110,164165,2055
0,24585,24816,231
1,74000,77236,3236
1,10314,47486,37172
1,92080,114880,22800
1,100831,112321,11490
1,64194,110522,46328
0,58991,80620,21629
1,68007,86570,18563
1,30000,68150,38150
1,73635,97441,23806
1,127145,170370,43225
0,171437,196517,25080
1,30581,56731,26150
0,55091,80369,25278
0,184096,207636,23540
1,12298,54254,41956
0,41978,76867,34889
0,31010,69932,38922
0,116841,121474,4633
1,58713,71997,13284
1,61052,92605,31553
1,33122,36882,3760
0,35531,59656,24125
1,17000,46965,29965
0,60174,62781,2607
0,67863,69142,1279
0,28022,35115,7093
0,115239,151997,36758
0,21807,26429,4622
0,52608,80533,27925
0,73336,76851,3515
1,33359,42215,8856
1,28267,42519,14252
0,70170,96009,25839
1,114000,149557,35557
0,110939,119122,8183
0,112407,162083,49676
1,175607,214227,38620
1,54381,65440,11059
1,69564,88632,19068
1,56000,86164,30164
1,43175,63541,20366
0,40976,90286,49310
1,124365,151855,27490
1,102765,121564,18799
1,54847,78902,24055
1,107171,144416,37245
1,41605,43142,1537
1,115000,151474,36474
0,36496,36667,171
0,107768,111562,3794
0,113462,142659,29197
0,57284,95734,38450
1,30456,56196,25740
1,80754,123565,42811
0,152944,165243,12299
0,68421,69201,780
0,79450,111329,31879
1,110132,138877,28745
0,179239,212150,32911
1,108000,149111,41111
0,52078,58860,6782
0,72627,79989,7362
1,76739,108742,32003
0,35121,48129,13008
0,128932,167084,38152
1,168000,207721,39721
1,55514,79068,23554
1,147000,189317,42317
0,62261,90932,28671
1,38435,74407,35972
1,141116,171798,30682
0,80915,87849,6934
1,132533,162574,30041
0,34500,44520,10020
1,196329,233382,37053
1,32522,33073,551
0,71725,91274,19549
0,94829,117914,23085
1,85001,88887,3886
0,67307,89231,21924
1,15361,48184,32823
0,10926,52075,41149
1,39193,51442,12249
1,35234,59020,23786
0,39207,84359,45152
0,42600,74021,31421
0,69975,118465,48490
1,26664,35186,8522
1,76000,78227,2227
1,57000,90063,33063
1,53000,82887,29887
1,46861,70343,23482
0,10321,37232,26911
0,95668,126276,30608
0,27450,33415,5965
0,65218,95867,30649
0,60596,83896,23300
0,130157,175652,45495
1,39010,72576,33566
1,98535,144597,46062
0,65336,76903,11567
0,174802,197991,23189
1,128350,136622,8272
0,72599,83038,10439
1,56542,73868,17326
0,131629,161662,30033
1,23223,71186,47963
1,70000,111105,41105
1,116740,149424,32684
0,91416,116858,25442
1,26173,39670,13497
0,190487,225966,35479
0,148123,192808,44685
0,70900,82484,11584
0,65187,87967,22780
0,30340,39734,9394
0,65110,75188,10078
0,36000,44633,8633
1,110000,148342,38342
0,85274,93736,8462
0,40470,50590,10120
1,42679,64272,21593
0,68394,93662,25268
0,82803,83604,801
0,65275,74169,8894
0,72166,85814,13648
0,101728,151334,49606
1,88027,90621,2594
0,111926,129066,17140
0,17955,55955,38000
0,40263,74065,33802
1,47000,81221,34221
1,28956,49561,20605
0,177940,183627,5687
0,66942,107869,40927
1,150623,183294,32671
0,132000,175835,43835
1,16688,60106,43418
0,34163,38684,4521
0,140000,182187,42187
0,87784,109891,22107
0,150018,150376,358
1,54360,72348,17988
1,107594,153650,46056
0,30777,56896,26119
0,41229,79741,38512
1,43072,87629,44557
1,139000,183430,44430
1,96895,108625,11730
0,75061,79813,4752
0,11399,22972,11573
0,60000,90582,30582
1,126721,167390,40669
1,34957,80039,45082
0,73830,92118,18288
0,98396,115486,17090
0,15000,35796,20796
0,35680,60727,25047
1,51069,56611,5542
1,44951,52519,7568
0,51778,90636,38858
0,96000,111780,15780
0,78648,100000,21352
1,54582,61294,6712
0,97188,131847,34659
1,158899,201435,42536
0,105326,150907,45581
0,98056,104380,6324
1,160818,190939,30121
0,66507,89810,23303
0,57167,106659,49492
1,185656,208517,22861
1,17175,59573,42398
0,102503,150579,48076
1,82196,94188,11992
1,83564,107783,24219
1,120152,156288,36136
1,90000,131213,41213
0,10077,51756,41679
1,82942,87257,4315
0,61433,85148,23715
0,31273,32631,1358
0,41418,77234,35816
0,100017,127985,27968
0,93496,108489,14993
1,37056,80310,43254
0,124830,150973,26143
0,192803,200113,7310
1,49898,73837,23939
0,19780,60750,40970
1,63218,71465,8247
0,75642,85963,10321
0,35401,40082,4681
1,56614,95577,38963
1,20424,65104,44680
0,45340,55373,10033
0,168305,202183,33878
1,55712,95187,39475
0,131966,175284,43318
1,60891,94391,33500
1,41000,43417,2417
0,18123,52827,34704
1,155288,173870,18582
0,105557,122187,16630
1,120188,170050,49862
0,27417,52610,25193
0,65120,90788,25668
1,92000,133308,41308
0,45605,46699,1094
0,84555,116945,32390
0,10326,28035,17709
0,83836,99861,16025
0,183701,224865,41164
1,28226,58924,30698
1,95936,103566,7630
1,109000,122272,13272
1,12000,50536,38536
1,10684,54498,43814
0,53265,60557,7292
0,54957,89796,34839
0,22862,35258,12396
0,44350,75814,31464
0,76000,93629,17629
0,129291,149384,20093
0,116069,147620,31551
0,22234,53855,31621
0,95676,144820,49144
1,11303,44616,33313
0,133307,138511,5204
0,78022,82183,4161
0,29927,42977,13050
0,72284,86372,14088
1,46201,78262,32061
0,55935,65767,9832
1,60774,74301,13527
1,23479,41708,18229
1,31000,67204,36204
0,91200,95502,4302
1,56143,66167,10024
1,25292,74015,48723
0,163500,165582,2082
1,67414,86859,19445
0,86597,132872,46275
1,18286,29304,11018
1,14885,62006,47121
1,127000,129762,2762
0,69540,88703,19163
0,60340,65999,5659
0,21385,70877,49492
0,75339,123712,48373
1,30000,41307,11307
0,28688,53545,24857
1,186471,214541,28070
1,65491,78011,12520
0,104447,110457,6010
0,23172,31284,8112
0,139803,174933,35130
1,11394,37559,26165
0,130002,138497,8495
0,136263,161393,25130
0,60729,72197,11468
0,114635,117576,2941
0,50100,92700,42600
1,39678,71489,31811
0,40226,86684,46458
0,122720,154756,32036
1,104970,141070,36100
0,20150,48826,28676
0,166545,195247,28702
1,105260,133490,28230
1,14000,25285,11285
0,23949,62482,38533
0,160049,200964,40915
1,169872,206423,36551
1,22895,64035,41140
0,74509,120822,46313
0,85721,119380,33659
0,82792,125195,42403
1,20000,25650,5650
0,30423,64939,34516
1,83990,99755,15765
0,16574,46998,30424
1,70218,92746,22528
1,76399,116321,39922
1,96025,143953,47928
1,142564,164058,21494
1,137558,162807,25249
1,14000,32998,18998
0,172042,198246,26204
1,138123,149865,11742
1,82302,110474,28172
0,41164,47724,6560
1,120219,158443,38224
1,54110,58407,4297
0,102319,105503,3184
0,26150,52335,26185
0,108171,110218,2047
0,53749,57216,3467
1,76227,120943,44716
1,31000,77460,46460
1,22851,54454,31603
0,188358,199270,10912
0,102745,133898,31153
0,118483,120310,1827
0,64263,85234,20971
1,130000,151363,21363
0,126481,142923,16442
0,87305,96962,9657
1,122132,139896,17764
1,90000,129224,39224
1,28872,75959,47087
0,25283,40911,15628
0,78630,109415,30785
0,38333,51538,13205
1,40000,47449,7449
1,96998,131502,34504
1,41637,79832,38195
0,102935,145788,42853
1,74251,111935,37684
1,32958,54846,21888
1,149349,189776,40427
0,47222,68076,20854
0,113309,124591,11282
0,17492,52929,35437
0,47793,66314,18521
1,148352,182491,34139
1,69282,80538,11256
0,136775,173253,36478
1,29000,53004,24004
0,38817,76879,38062
1,105657,155324,49667
0,58180,80466,22286
0,73651,82376,8725
1,44743,73727,28984
1,70000,103802,33802
0,99525,149028,49503
0,28307,63566,35259
1,120231,143805,23574
0,46088,83456,37368
0,49783,51899,2116
0,126411,130415,4004
1,50000,84553,34553
0,17000,32740,15740
1,29205,49304,20099
1,175838,221539,45701
0,100400,114293,13893
0,35228,50869,15641
0,107785,114454,6669
0,106011,153013,47002
1,66637,84243,17606
1,88140,134616,46476
1,16475,60468,43993
1,79776,124361,44585
0,10773,37292,26519
1,75000,99832,24832
0,74710,84039,9329
0,18813,26760,7947
1,20608,51037,30429
0,164896,190480,25584
0,94696,134773,40077
1,90036,93626,3590
1,18000,22273,4273
0,32490,72136,39646
0,70571,95485,24914
0,164718,176934,12216
0,90992,137631,46639
0,67352,97500,30148
1,139626,180698,41072
0,58311,76219,17908
0,135165,136208,1043
0,48021,94670,46649
0,131650,178147,46497
0,84569,93112,8543
0,62305,91642,29337
1,86153,129404,43251
0,81582,81999,417
1,45093,48317,3224
0,37585,68220,30635
1,151136,160905,9769
1,79000,118120,39120
1,167006,194656,27650
1,150000,187040,37040
0,63663,64444,781
0,20732,67192,46460
1,17276,37300,20024
1,42834,70120,27286
0,64838,87567,22729
1,15000,34990,19990
1,62698,91948,29250
1,106714,155196,48482
1,54000,72895,18895
0,43365,85934,42569
0,67466,70301,2835
1,75000,105956,30956
0,85094,130237,45143
0,59674,75360,15686
0,95305,101839,6534
0,118490,155290,36800
1,126246,130491,4245
1,55238,94626,39388
1,70000,95507,25507
1,123000,131724,8724
0,95069,128391,33322
0,80879,92976,12097
1,97658,130616,32958
0,55839,87416,31577
1,54200,70532,16332
0,84075,95358,11283
0,85033,101183,16150
0,31490,58846,27356
0,11080,35892,24812
0,82674,129416,46742
1,39281,68524,29243
0,51362,82054,30692
0,131217,145930,14713
0,120570,148557,27987
1,50326,86040,35714
0,80000,85633,5633
0,80063,84169,4106
1,20000,46035,26035
0,26170,47919,21749
0,43768,48411,4643
0,87102,115477,28375
0,121972,132043,10071
1,61000,109292,48292
0,52355,95023,42668
1,42688,81373,38685
1,31342,64547,33205
1,72680,113134,40454
0,18610,61668,43058
0,55691,75523,19832
1,176000,212925,36925
0,117486,128697,11211
0,74569,101006,26437
1,27204,68670,41466
0,56370,89282,32912
1,34500,40053,5553
0,93801,128396,34595
0,34128,66142,32014
1,28000,74684,46684
1,68000,109992,41992
0,151369,193651,42282
1,27995,50902,22907
0,91318,125468,34150
0,98050,115212,17162
1,60000,75279,15279
1,161890,175770,13880
0,54378,60474,6096
0,146000,156945,10945
1,70332,80083,9751
1,144349,167932,23583
1,37670,68433,30763
1,39200,51315,12115
0,160000,171578,11578
0,178650,194741,16091
0,78625,86353,7728
1,104875,137622,32747
1,16604,34275,17671
0,47081,95050,47969
0,65098,76295,11197
0,78414,86175,7761
0,100689,135338,34649
0,38475,83096,44621
1,57512,61281,3769
0,34798,53270,18472
0,179080,222592,43512
0,68582,112645,44063
0,68111,82666,14555
0,79054,108161,29107
0,189027,200316,11289
0,109138,119429,10291
0,53420,71173,17753
1,52981,87626,34645
1,66500,91981,25481
0,14659,26858,12199
1,38659,47514,8855
0,18275,67673,49398
1,126790,176417,49627
1,127064,141047,13983
1,102000,109116,7116
1,17114,57356,40242
0,20450,59176,38726
1,67026,70584,3558
1,130000,172733,42733
0,68101,103068,34967
0,106357,118477,12120
1,54275,92225,37950
0,77032,82503,5471
1,98415,114664,16249
1,71859,91660,19801
1,87200,136900,49700
0,169106,170940,1834
0,60622,92526,31904
0,26445,50702,24257
0,10412,53717,43305
0,71391,114701,43310
1,150000,167884,17884
0,73091,104161,31070
0,129558,154385,24827
1,103191,119611,16420
1,55435,86271,30836
0,100449,132330,31881
1,70754,108981,38227
0,26248,64136,37888
1,109600,135399,25799
0,104521,113659,9138
1,46256,81508,35252
0,74674,122790,48116
1,56053,79381,23328
0,32557,74620,42063
1,52744,90970,38226
1,66620,113273,46653
0,74174,76541,2367
0,53372,77901,24529
0,199219,200960,1741
0,89068,96074,7006
1,14600,17721,3121
1,154848,200094,45246
1,101999,111626,9627
0,85710,103714,18004
1,96926,134279,37353
0,92349,134699,42350
0,135173,156425,21252
1,47887,89573,41686
1,190000,195221,5221
0,197458,206290,8832
1,43411,61075,17664
1,18451,26629,8178
1,113000,154435,41435
0,42086,48080,5994
0,50086,87912,37826
1,24000,41038,17038
1,56195,56706,511
1,40975,77947,36972
1,46221,59778,13557
1,36500,55006,18506
0,55356,56061,705
1,13983,26368,12385
1,78695,82809,4114
0,120597,169861,49264
0,10445,43176,32731
1,17405,35791,18386
0,43000,61827,18827
0,31771,76517,44746
1,185134,221819,36685
0,60578,103336,42758
0,20627,40949,20322
1,42491,46308,3817
1,54719,55476,757
0,140122,144357,4235
1,83000,89472,6472
1,54187,79069,24882
0,15542,23042,7500
1,33000,67728,34728
1,35136,38588,3452
0,41279,49403,8124
1,39737,47131,7394
1,29596,60829,31233
1,30000,46908,16908
0,36348,46836,10488
0,161482,194436,32954
1,50487,57068,6581
1,22801,40956,18155
1,173217,193027,19810
1,17401,30039,12638
0,111356,117020,5664
1,85814,124711,38897
1,71253,106514,35261
0,82084,103536,21452
0,108779,109994,1215
0,19838,20208,370
0,49428,93205,43777
1,10410,22146,11736
0,67712,88506,20794
1,45000,72999,27999
0,182053,219175,37122
1,40801,86796,45995
1,37000,62015,25015
1,13399,50073,36674
0,145888,151976,6088
1,114000,134556,20556
1,40816,69733,28917
0,40635,43925,3290
1,33001,77182,44181
0,65322,70901,5579
1,90000,109291,19291
1,35928,53452,17524
0,53730,79421,25691
0,175485,216635,41150
1,76668,122778,46110
1,19751,68172,48421
0,55943,66479,10536
0,18150,33461,15311
0,114297,148608,34311
1,58259,65090,6831
0,52000,56761,4761
1,55395,55413,18
1,41707,65495,23788
0,11712,28645,16933
1,94117,141651,47534
1,84374,96653,12279
0,134000,156669,22669
0,193634,242310,48676
1,78197,123614,45417
1,85000,130149,45149
0,112662,158384,45722
0,61297,104640,43343
0,174980,222220,47240
1,20000,58639,38639
1,63526,85936,22410
1,64000,91479,27479
0,22098,28980,6882
0,23641,33769,10128
1,108030,156761,48731
1,177627,226771,49144
0,96199,130465,34266
0,100980,125406,24426
1,196888,240325,43437
0,61014,62196,1182
0,96618,110290,13672
1,130000,159639,29639
0,45160,65797,20637
1,15662,26268,10606
1,52185,97339,45154
0,92548,97876,5328
1,51895,57863,5968
0,129934,141043,11109
1,54100,70491,16391
0,41691,55520,13829
0,28985,69470,40485
1,56927,94211,37284
0,22887,39826,16939
0,75744,91762,16018
1,51000,70916,19916
1,32250,62056,29806
1,91623,126779,35156
1,89867,91940,2073
1,81375,90069,8694
1,174771,192928,18157
1,75091,78399,3308
0,26635,62423,35788
0,13005,38441,25436
1,12000,51152,39152
0,19229,47928,28699
1,30000,62753,32753
1,72214,98299,26085
0,59720,90939,31219
1,29742,61785,32043
1,31100,32303,1203
1,84025,125185,41160
0,46571,75444,28873
0,31660,54434,22774
0,136676,143932,7256
1,17693,44249,26556
0,24545,63821,39276
0,56882,80082,23200
0,102376,148438,46062
0,139291,188657,49366
0,82752,92560,9808
0,67319,113550,46231
1,32648,59554,26906
0,15649,23526,7877
1,68711,70728,2017
0,43487,91987,48500
1,35350,66888,31538
1,135000,184352,49352
1,28700,51078,22378
0,106322,117781,11459
1,98000,116281,18281
1,31669,73493,41824
0,32397,57896,25499
0,95612,140550,44938
0,137673,183293,45620
0,92465,100693,8228
0,60480,68326,7846
0,78802,106762,27960
1,41239,61337,20098
1,45378,90002,44624
1,113000,121497,8497
1,163000,193204,30204
0,122207,161390,39183
0,105534,123732,18198
0,53549,81387,27838
0,36732,68303,31571
1,78388,102700,24312
1,97081,102868,5787
1,162176,189600,27424
1,108491,117656,9165
0,32093,39215,7122
1,66603,71664,5061
0,108627,114970,6343
0,55248,87951,32703
1,82000,114707,32707
0,56491,94198,37707
0,162169,174057,11888
0,56362,56450,88
0,87561,89672,2111
0,18678,22227,3549
1,22000,50582,28582
1,27519,39167,11648
0,95241,134864,39623
0,112313,160983,48670
0,85749,119419,33670
0,33291,58576,25285
1,52367,68470,16103
0,108908,151054,42146
1,77000,110787,33787
0,11539,27097,15558
0,37766,85293,47527
1,30283,46284,16001
0,42199,74917,32718
0,76013,92567,16554
0,39920,42686,2766
0,91064,115619,24555
0,23408,42165,18757
0,40516,45294,4778
1,70277,114297,44020
0,160514,167197,6683
1,56312,84852,28540
1,33000,82160,49160
0,146302,154038,7736
1,105000,134151,29151
1,46507,58835,12328
0,94898,134117,39219
0,162660,204206,41546
1,150600,188493,37893
0,65624,66090,466
1,88330,118593,30263
0,132964,176365,43401
0,31779,50109,18330
0,68356,115509,47153
0,131885,167260,35375
1,16000,25857,9857
0,23429,24744,1315
0,137316,166880,29564
0,22315,28848,6533
0,71172,109116,37944
0,14106,52364,38258
1,127798,146987,19189
1,53547,62779,9232
0,58266,75561,17295
0,41802,76740,34938
1,126825,176167,49342
1,24685,56814,32129
0,46538,48264,1726
1,36999,82770,45771
0,67514,99497,31983
0,117059,135283,18224
0,95757,120051,24294
0,74215,113545,39330
1,77394,109314,31920
1,67000,69719,2719
1,94043,100378,6335
0,45195,77875,32680
1,50000,86944,36944
0,16720,45301,28581
0,78904,114967,36063
0,47269,83804,36535
0,44012,48212,4200
0,25240,39253,14013
0,46209,63736,17527
1,12162,44050,31888
0,105612,118588,12976
0,14857,32248,17391
0,27016,54896,27880
0,165000,169291,4291
1,39000,73837,34837
1,78000,123877,45877
0,36891,76880,39989
1,28332,52544,24212
0,83674,84215,541
1,111471,133115,21644
0,158608,166810,8202
0,106429,146097,39668
0,150000,181909,31909
1,37305,73190,35885
1,81333,121310,39977
1,25262,66925,41663
0,94884,104003,9119
0,80739,90034,9295
0,14228,34527,20299
0,83000,96002,13002
1,149887,163996,14109
1,47495,68872,21377
0,52565,71784,19219
1,55439,84591,29152
0,125124,156934,31810
0,18487,21933,3446
1,103694,129915,26221
0,43726,55931,12205
0,196500,200029,3529
1,43000,79327,36327
0,50174,61483,11309
1,55192,88767,33575
1,59980,64447,4467
0,68017,112266,44249
1,110462,114764,4302
1,31481,79057,47576
1,117000,156423,39423
1,92676,135562,42886
0,175511,222230,46719
1,43822,47206,3384
1,40000,76982,36982
0,55240,73530,18290
0,129583,168583,39000
1,24363,51001,26638
1,65608,114391,48783
1,41099,51452,10353
0,95180,131608,36428
1,170000,178960,8960
1,79341,129273,49932
0,126813,143214,16401
0,18347,60782,42435
0,60000,99246,39246
0,44863,54719,9856
0,62030,70761,8731
0,49714,49862,148
0,75774,115033,39259
1,90922,121053,30131
0,35234,38366,3132
1,22880,33773,10893
0,28218,73587,45369
1,114193,135494,21301
1,62826,78584,15758
0,60126,75711,15585
1,101691,132283,30592
1,21855,23851,1996
1,21925,61334,39409
1,138446,171715,33269
0,151035,172440,21405
1,50000,93880,43880
0,32000,37563,5563
1,58085,105076,46991
1,89231,131122,41891
0,63818,93578,29760
0,23589,40021,16432
1,57793,98153,40360
0,154000,161101,7101
0,123000,153900,30900
1,92782,130824,38042
0,96721,131987,35266
0,61340,84723,23383
1,100077,124302,24225
1,85000,113099,28099
1,135000,178410,43410
1,114914,138227,23313
0,70486,99090,28604
1,65716,91973,26257
1,111609,121025,9416
0,82912,88090,5178
1,89948,131659,41711
1,191473,215497,24024
0,100031,123178,23147
0,60995,105020,44025
0,85000,107257,22257
0,93228,107409,14181
0,65985,88980,22995
0,133493,146945,13452
1,39500,53716,14216
1,86521,133559,47038
0,32479,70428,37949
1,82403,118693,36290
0,30405,48642,18237
1,34259,74280,40021
0,38813,40090,1277
1,56452,103830,47378
0,53350,72357,19007
0,76042,102362,26320
1,180547,201213,20666
1,75340,99420,24080
0,11092,51951,40859
1,63290,75521,12231
0,30147,62328,32181
0,66800,92797,25997
1,97223,133834,36611
1,20435,61525,41090
0,126208,134488,8280
1,175123,205913,30790
0,123010,123577,567
0,44716,46579,1863
1,17739,59872,42133
1,78590,124989,46399
0,60270,92768,32498
1,51000,66898,15898
1,68200,71534,3334
0,48881,65029,16148
1,77138,125489,48351
0,97993,122778,24785
1,17467,50455,32988
0,93425,143033,49608
0,69118,100494,31376
0,53785,100197,46412
0,131050,140479,9429
0,11135,20409,9274
0,41120,83328,42208
0,18576,45459,26883
0,133425,160964,27539
0,55786,85673,29887
0,94648,119964,25316
1,55293,98906,43613
1,48597,73717,25120
0,78957,86444,7487
1,119659,125043,5384
0,54006,68979,14973
0,25268,65841,40573
1,18306,41625,23319
0,132846,148179,15333
0,50928,52744,1816
1,72000,96018,24018
0,140746,160671,19925
1,185671,231293,45622
1,41000,67790,26790
1,30000,62105,32105
0,124428,172527,48099
0,62487,110451,47964
0,91915,93725,1810
0,93154,136685,43531
0,66030,91901,25871
0,45182,67436,22254
1,40000,52318,12318
1,183765,190936,7171
1,175458,213799,38341
1,48650,98157,49507
1,33877,81478,47601
0,75414,88672,13258
0,66255,74436,8181
0,68733,100667,31934
0,144565,145147,582
1,98806,100160,1354
1,50199,100185,49986
0,24846,33706,8860
1,77787,91460,13673
1,26542,63485,36943
0,29523,33008,3485
1,71573,93264,21691
1,10021,29071,19050
1,147839,151179,3340
1,85902,125292,39390
1,98603,120134,21531
0,165000,183136,18136
1,34814,54405,19591
1,115000,158353,43353
0,128446,174107,45661
0,114215,145724,31509
1,56991,87293,30302
0,25276,47217,21941
0,25491,42547,17056
0,11377,38985,27608
0,25603,46819,21216
1,73374,89990,16616
0,157305,165656,8351
0,118220,160867,42647
1,110728,154678,43950
0,73564,115540,41976
0,72356,92985,20629
0,70626,94708,24082
1,191999,238366,46367
1,60369,70416,10047
1,138163,164359,26196
1,191820,213691,21871
1,103785,149378,45593
1,50635,66301,15666
0,188500,233855,45355
1,63572,103711,40139
0,152764,174161,21397
0,150729,182476,31747
1,27959,38179,10220
0,92590,125596,33006
1,70923,80972,10049
0,34305,74888,40583
1,62285,103958,41673
0,64160,108731,44571
1,108633,142783,34150
1,143298,146116,2818
1,26919,39163,12244
1,40265,77815,37550
0,78665,100893,22228
1,18040,52927,34887
0,58993,78898,19905
1,25426,54309,28883
1,20101,68322,48221
0,19030,66771,47741
1,13902,26527,12625
0,35003,69211,34208
0,14801,49066,34265
0,89552,103932,14380
1,22488,23249,761
1,105398,135185,29787
0,16254,60486,44232
0,72317,84924,12607
1,34935,83488,48553
0,83634,90972,7338
0,29200,42269,13069
0,54677,55070,393
1,65869,114925,49056
1,138200,180653,42453
0,54987,64484,9497
0,145302,156699,11397
1,15313,52048,36735
1,106439,126882,20443
1,79333,111561,32228
0,89648,114057,24409
1,80576,124432,43856
1,37000,76044,39044
0,87293,127648,40355
1,42250,87856,45606
1,110685,141715,31030
0,86669,110080,23411
0,34409,35649,1240
0,77717,91848,14131
0,17792,66902,49110
1,30554,47107,16553
0,40477,65795,25318
0,98876,127360,28484
1,56354,74834,18480
0,65819,69561,3742
1,160160,189210,29050
1,34263,37766,3503
0,50819,65676,14857
0,86990,107449,20459
0,53807,83441,29634
0,127649,143813,16164
1,14400,52013,37613
0,99605,107468,7863
0,94772,116360,21588
1,91237,131983,40746
0,75133,124844,49711
0,97537,105596,8059
0,37822,50350,12528
0,42000,43429,1429
0,43600,56559,12959
0,24346,55360,31014
0,46262,49650,3388
0,80892,84562,3670
1,71295,109348,38053
1,70000,106799,36799
0,95250,137391,42141
1,74997,118203,43206
0,21238,60707,39469
0,95281,129660,34379
1,119883,151803,31920
1,12000,14193,2193
1,45000,79602,34602
0,27723,61816,34093
0,50509,62254,11745
1,54217,89738,35521
0,31800,78652,46852
0,24386,72550,48164
0,103501,117022,13521
0,122236,151762,29526
1,186759,217969,31210
0,41428,90323,48895
0,17695,58958,41263
1,100173,147506,47333
0,66916,98224,31308
0,49132,56087,6955
0,119265,145293,26028
1,126537,175773,49236
1,89489,132696,43207
0,182000,204206,22206
0,111238,123644,12406
1,97757,144315,46558
1,46000,64756,18756
0,53318,62359,9041
0,54530,59718,5188
0,144912,150622,5710
1,76856,113517,36661
